key|display_title|description
http://purl.org/au-research/grants/nhmrc/2043991|Mechanisms blocking the repair of mammalian hearts after injury: using AI-assisted directed evolution of novel biologics to empower regeneration.|Heart attacks damage heart muscle cells and can lead to heart failure with a poor 5-year survival rate. This research will elucidate the mechanisms of this poor heart repair and develop promising therapeutics to stimulate the regrowth of heart muscle. The project will identify the best drug candidate and formulate it so that it can be easily delivered to heart attack patients. The overall goal of this research is to remove roadblocks that prevent the body from healing itself after an injury.
http://purl.org/au-research/grants/nhmrc/2043672|CELLOGRAMRx: Pan-Cancer Cellular composition and signalling relationship mapping to identify novel therapeutic targets|In collaboration between Australian and Japanese cancer researchers, clinicians and data scientists, we will build a comprehensive pan-cancer spatial map of cancer cells and their immune system from ~2000 patients representing top 10 cancers in our countries. This map will help in understanding why current therapies work only in some patients and some subtypes of cancers. This map will also allow us to identify new drug targets to develop novel therapies and rationalise treatment selection.
http://purl.org/au-research/grants/nhmrc/2044048|Control of endemic HTLV-1 to prevent silent global spread|Australian and Japanese researchers will combine our respective strengths to develop RNA and small molecule medicines to prevent and treat the Human T-cell Leukaemia Virus (HTLV) that is a priority infectious agent in our respective communities. Australians bring expertise in RNA design, manufacture, formulation, delivery and regulatory affairs, and Japanese with clinical management, research materials and methods, and especially with HTLV infected primates needed for testing new medicines.
http://purl.org/au-research/grants/nhmrc/2039929|Supporting shared decision making in practice: implementation and evaluation of the Finding Your Way model for Mob|In 2021 the Agency for Clinical Innovation (ACI) in New South Wales worked with NSW Aboriginal communities to create a tool 'Finding Your Way' to help health workers talk about COVID-19 vaccination. Now the ACI have described the skills health workers need to put this shared decision-making (SDM) tool into practice, for any conversation about health. With Aboriginal governance and leadership, this research will validate a culturally safe measure of SDM and develop a framework to implement SDM.
http://purl.org/au-research/grants/nhmrc/2037072|HIRAID Inpatient: Improving the safety and quality of nursing care for hospital patients|"Australia’s hospitals are in crisis, because high rates of preventable adverse events (e.g infections, falls, medication errors), that cause patient harm, remain static. This codesigned HIRAID-Inpatient project will address this problem through the development of a new fit-for-purpose, “whole-of-patient"" nursing assessment framework for any patient with any condition on any ward. It will support nurses to deliver consistent high quality and safe care, reduce patient deterioration and save lives."
http://purl.org/au-research/grants/nhmrc/2040196|Investigating the health service pathways and outcomes of people seeking urgent care for mental illness, deliberate self-harm and suicidal behaviour|Australia is in a mental health crisis. Each year, over 3000 people die by suicide, and half of these people had attend an emergency department (ED) in the year before death, but services failed to prevent suicide. We urgently need to understand what happens to people after they come to hospital so we can improve their MH outcomes. Working with key mental health agencies, results from this study will inform targeted, evidence based strategies to improve MH outcomes.
http://purl.org/au-research/grants/nhmrc/2040450|Midlines Across Paediatrics (MAP): An implementation project across regional and tertiary paediatrics|Children in Australia are undergoing painful procedures in hospital, that could be prevented. Together, 10 hospitals from across Australia will work together with researchers and policy makers to put in to practice a new medical device that will reduce pain, and improve our ability to give therapies, such as antibiotics and hydration. We will then put together a tool-kit to allow other hospitals across Australia to do the same.
http://purl.org/au-research/grants/nhmrc/2040673|Promoting evidence-informed decisions about IVF add-ons through co-design, implementation, and evaluation of a new website|IVF ‘add-ons’ are optional extras which can be added to standard IVF protocols. Most IVF add-ons are not proven to be beneficial or safe, but patients may not realise this as information on the internet is unreliable and exaggerates potential benefits. We will develop a new website that has accurate information about add-ons, based on scientific evidence, and is trusted by IVF patients and doctors. IVF patients and doctors will help us to design it and experts will review the evidence.
http://purl.org/au-research/grants/nhmrc/2042295|A national research program guiding progress towards hepatitis C elimination in the prison|Hepatitis C infection causes progressive liver scarring, liver cancer and death. Hepatitis C is very common in the prisons, making this setting critical for hepatitis C control strategies, including delivery of testing and curative treatment. This project aims to develop a sustainable research framework to inform strategies to enhance hepatitis C testing, treatment and prevention efforts in each state and territory to underpin national elimination efforts.
http://purl.org/au-research/grants/nhmrc/2040570|Direct access to publicly funded physiotherapy for musculoskeletal pain: effectiveness, cost effectiveness, and implementation (PhysioDirect-Aus)|The aims of this project are to determine the benefit of adding a funded direct access physiotherapy pathway to usual GP-led primary care in Australia, for adults with musculoskeletal pain. We anticipate direct access to physiotherapy will lead to similar improvements in physical health but will reduce inappropriate healthcare utilisation (eg. fewer medication prescriptions, imaging requests, and specialist referrals) compared to usual GP-led care alone.
http://purl.org/au-research/grants/nhmrc/2040703|Stacking interventions for equitable child health and development: building evidence to support precision policy|Children’s health and development are shaped by the environments in which they live. We aim to promote health and development for children, especially those experiencing socioeconomic disadvantage. Using existing Australian and international data, we will examine how best to create supportive environments in the early years. The insights gained will guide policymakers in prioritising opportunities to improve equity in children’s health and development.
http://purl.org/au-research/grants/nhmrc/2040837|Exploiting the unique functions of MAIT cells to drive the rational design of new vaccines and immunotherapies|Mucosal-associated invariant T (MAIT) cells detect metabolites from microbes, and provide protective immunity against bacterial infection, but can also cause pathology. This study seeks to define the unique molecular signals driving the activation and function of MAIT cells over the course of their immune response, develop methods to modulate their functions, and test the therapeutic impact of MAIT cell modulation on immunity to infections and tumours using mouse models.
http://purl.org/au-research/grants/nhmrc/2040835|Precision Prevention, Targeted Treatment and Improved Survivorship to Decrease the Burden of Breast Cancer|Breast cancer affects 1 in 8 Australian women. Of all the cancers, breast cancer results in the largest number of years of healthy life lost from death and illness. My research will reduce this unacceptable burden of breast cancer for women and their families. Spanning prevention, through treatment to survivorship, it will facilitate reduced breast cancer incidence, better treatments and enhanced understanding of the effects of new treatments on ovarian function and fertility.
http://purl.org/au-research/grants/nhmrc/2040834|Generating the evidence required to enable health equity for gender and sexuality diverse populations in Australia|Gender and sexuality diverse populations in Australia face higher morbidity rates than their heterosexual peers, with limited understanding due to small, non-probability samples. My goal is to reshape public health strategies by generating robust evidence to address these disparities, identify overlooked issues, and enhance healthcare access. By leveraging large-scale studies, I aim to strengthen the evidence base and develop strategies for improved chronic disease management.
